created_at,full_text,location,text_translated
Thu Oct 31 15:19:47 +0000 2024,Sejak aku tengok video tiktok KPDNKK Melaka baru aku tau yang peniaga tak boleh guna minyak paket ‍️,Shukri’s ♡,Ever since I saw the new KPDNKK Melaka video I knew that traders could not use packet oil ‍️
Thu Oct 31 11:32:59 +0000 2024,https://t.co/02Q14lCul8 @KPDN_HQ @KPDNKK tak boleh ke adakan peraturan/undang2 elak cubaan mengelirukan pembeli2 muslim?,Singapore,https://t.co/02q14lcul8 @kpdn_hq @kpdnkk Can't you have the rules/laws to avoid misleading Muslim buyers?
Thu Oct 31 10:10:07 +0000 2024,https://t.co/UUxPvj4L2r @KPDNKK @KPDN_HQ @kpdnkedah,Singapore,https://t.co/uuxpvj4l2r @kpdnkk @kpdn_hq @kpdnkedah
Thu Oct 31 07:48:25 +0000 2024,Saman dia helo kkm kpdnkk,"Johor Bahru, Johor",He sued Hello KKM KPDNKK
Thu Oct 31 06:27:15 +0000 2024,Nak tanya @KPDNKK .. peniaga² di LG midValley Mega Mall KL mmg tak perlu letak tanda Harga ke?,Kuala Lumpur,Want to ask @kpdnkk .. traders at Midvalley Mega Mall KL mmg don't need a price tag?
Wed Oct 30 14:19:04 +0000 2024,@Marchfoward Mohon tindakan @PDRMsia @JPJ_Malaysia @JBPM_official @relamalaysia @KKMPutrajaya @@anwaribrahim @DrZahidHamidi @drasyrafwajdi @jpnhqofficial @KPDN_HQ @KPDNKK @Celcom @digitelco @umobile @Maxis @tabikakemas @DSDrNaim,"Gaza,Palestine",@Marchfoward Apply for @pdrmsia @jpj_malaysia @jbpm_official @relamalaysia @kkmputrajaya @@ anwaribrahim @drahidhamidi @drasyrafwajdi @jpnhqofficial @kpdn_hq @kpdnkk @celcom @digitelco @umobile @mixis @ Naim
Wed Oct 30 14:17:13 +0000 2024,@13Mr_Mayhem @MINDEFMalaysia Mohon tindakan @PDRMsia @JPJ_Malaysia @JBPM_official @relamalaysia @KKMPutrajaya @@anwaribrahim @DrZahidHamidi @drasyrafwajdi @jpnhqofficial @KPDN_HQ @KPDNKK @Celcom @digitelco @umobile @Maxis @tabikakemas @DSDrNaim,"Gaza,Palestine",@13mr_mayhem @mindefmalaysia Apply Action @pdrmsia @jpj_malaysia @jbpm_official @relamalaysia @kkmputrajaya @@ anwaribrahim @drahidhamidi @drasyrafwajdi @jpnhqofficial @kpdn_q @kpdnkk @tabikakemas @dsdrnaim
Wed Oct 30 12:43:43 +0000 2024,KPDNKK Bahagian Jabatan Kesihatan melakukan gempuran ke atas lokasi restoran tempat proses makanan yang didapati abaikan kebersihan dan pembuatan barangan halal tetapi dalam tidak disebut syarikat kilang yang langgar peraturan itu rakyat masih terus guna kan barangan tersebut.,,The Department of Health Division KPDNKK battle on the location of the restaurant where the food process is found to ignore the hygiene and manufacture of halal goods but in the fact that it is not called a factory company that violates the rules of the people still use the goods.
Wed Oct 30 05:41:54 +0000 2024,Mahal giler air minum sekarang. Air import dari Brazil ke? Cc @KPDN_HQ @KPDNKK @anwaribrahim @BuletinTV3 @bernamadotcom @tv3malaysia https://t.co/lCXPPixQ0i,,Expensive water giler drinks now.Air imported from Brazil to?Cc @kpdn_hq @kpdnkk @anwaribrahim @bulletintv3 @bernamadotcom @tv3malaysia https://t.co/lcxppixq0i
Tue Oct 29 22:54:34 +0000 2024,@SPRMMalaysia bila nak siasat? Siapa didalam khazanah dan PNB yg buat keputusan invest bodoh tu? Takkan aku nak tag kpdnkk atau JKR kot?,"Dubai, United Arab Emirates",@Sprmmalaysia when to investigate?Who is in the treasure and PNB who make that stupid investment decision?Wouldn't I want to tag the KPDNKK or JKR coat?
Tue Oct 29 03:06:23 +0000 2024,kena report kpdnkk makan tak habis bos oi,"Perlis, Malaysia",Got a report on the boss
Mon Oct 28 10:14:55 +0000 2024,'Belum ada anggur beracun Shine Muscat dijual di Johor' - KPDNKK #BHnasional Jika ada aduan rasmi operasi bersepadu akan digerakkan bagi menjamin keselamatan ramai https://t.co/A7uRxCEZ3u,Malaysia,'There is no poisonous Shine Muscat vine sold in Johor' - KPDNKK #Bhnational if any official complaint of Integrated Operations will be mobilized to ensure public safety https://t.co/a7urxcez3u
Mon Oct 28 08:58:39 +0000 2024,siapa ada pengalaman report dengan KPDNKK?,,Who has a report with the KPDNKK?
Mon Oct 28 05:39:31 +0000 2024,@azhnhris bro on pdrm/jpam/aadk/kpdnkk/MBI watchlist https://t.co/TIc0CrHjFg,social flow,@azhnhris bro on pdrm/jpam/aadk/kpdnkk/mbi watchlist https://t.co/tic0crhjfg
Mon Oct 28 04:08:50 +0000 2024,@crypticlord @unifi Report KPDNKK je,,@crypticlord @unifi report kpdnkk je
Sun Oct 27 03:33:29 +0000 2024,Aku rasa dulu aku pernah tweet yg aku beli ayam sekor rm20 lebih kat kedai abe dekat dgn rumah aku ni harini laki aku kabor kedai tu kena raid dgn kpdnkk baru tadi ,Malaysia,I think I used to tweet that I bought a chicken for RM20 more at a shop near my house today when I was a shop to buy it with the new KPDNKK
Sat Oct 26 02:39:06 +0000 2024,@twtmalaywedding @ShopeeMY @KPDNKK Hi mind to share how nak report kpdnkk ni? Kalau utk online seller yg janji nak refund duit kita dah berbulan tak refund juga boleh kan?,"Kuala Selangor, Selangor","@twtmalaywedding @shopeemy @kpdnkk Hi mind to share how to report KPDNKK?If for online seller who promised to refund our money for months, it is possible, right?"
Fri Oct 25 23:33:37 +0000 2024,@SinarOnline Drama bermusim kpdnkk,,@SinarOnline Seasonal Drama KPDNKK
Thu Oct 24 16:12:21 +0000 2024,Kalau i still tak dapat my claim from Etiqa ni kat mana i can report selain dari CS Etiqa yang tidak membantu ? kpdnkk ke ?,Malaysia,If I still can't get my claim from Etiqa where can I report other than CS Etiqa that doesn't help?KPDNKK ke?
Mon Oct 21 04:53:42 +0000 2024,https://t.co/TYJtODhMfm @KPDNKK baca dlm komen tulis harga lain dlm cerita lain,Singapore,https://t.co/tyjtodhmfm @kpdnkk Read in comments Write another price in another story
Sun Oct 20 16:38:42 +0000 2024,@Artemis281072 @staronline Mamak memang pantat.. minta kpdnkk masuk campur..,,@Artemis281072 @staronline mamak is really ass .. ask kpdnkk to intervene ..
Sun Oct 20 05:40:20 +0000 2024,Ada satu dua syarikat pemungut hutang (debt collectors) yang berkeliaran mengancam dan menakutkan orang. Ada yang menuntut hutang yang dah luput dibawah undang2. Tarik balik lesen mereka ini. @KPDN_HQ @KPDNKK @PDRMsia @malaysianbar,"Kuala Lumpur, Malaysia ",There are one two debt collectors that are wandering and scary people.Some demand debts that have expired under the law.Withdraw their license.@Kpdn_hq @kpdnkk @pdrmsia @malaysianbar
