created_at,full_text,location,text_translated,sentiment_score,sentiment
Thu Oct 31 15:19:47 +0000 2024,Sejak aku tengok video tiktok KPDNKK Melaka baru aku tau yang peniaga tak boleh guna minyak paket ‍️,Shukri’s ♡,Ever since I saw the new KPDNKK Melaka video I knew that trader could not use packet oil,0.0,Neutral
Thu Oct 31 11:32:59 +0000 2024,https://t.co/02Q14lCul8 @KPDN_HQ @KPDNKK tak boleh ke adakan peraturan/undang2 elak cubaan mengelirukan pembeli2 muslim?,Singapore,kpdnhq kpdnkk Cant you have the ruleslaws to avoid misleading Muslim buyer,-0.5994,Negative
Thu Oct 31 10:10:07 +0000 2024,https://t.co/UUxPvj4L2r @KPDNKK @KPDN_HQ @kpdnkedah,Singapore,kpdnkk kpdnhq kpdnkedah,0.0,Neutral
Thu Oct 31 07:48:25 +0000 2024,Saman dia helo kkm kpdnkk,"Johor Bahru, Johor",He sued Hello KKM KPDNKK,0.0,Neutral
Thu Oct 31 06:27:15 +0000 2024,Nak tanya @KPDNKK .. peniaga² di LG midValley Mega Mall KL mmg tak perlu letak tanda Harga ke?,Kuala Lumpur,Want to ask kpdnkk trader at Midvalley Mega Mall KL mmg dont need a price tag,0.0772,Positive
Wed Oct 30 14:19:04 +0000 2024,@Marchfoward Mohon tindakan @PDRMsia @JPJ_Malaysia @JBPM_official @relamalaysia @KKMPutrajaya @@anwaribrahim @DrZahidHamidi @drasyrafwajdi @jpnhqofficial @KPDN_HQ @KPDNKK @Celcom @digitelco @umobile @Maxis @tabikakemas @DSDrNaim,"Gaza,Palestine",Marchfoward Apply for pdrmsia jpjmalaysia jbpmofficial relamalaysia kkmputrajaya anwaribrahim drahidhamidi drasyrafwajdi jpnhqofficial kpdnhq kpdnkk celcom digitelco umobile mixis Naim,0.0,Neutral
Wed Oct 30 14:17:13 +0000 2024,@13Mr_Mayhem @MINDEFMalaysia Mohon tindakan @PDRMsia @JPJ_Malaysia @JBPM_official @relamalaysia @KKMPutrajaya @@anwaribrahim @DrZahidHamidi @drasyrafwajdi @jpnhqofficial @KPDN_HQ @KPDNKK @Celcom @digitelco @umobile @Maxis @tabikakemas @DSDrNaim,"Gaza,Palestine",13mrmayhem mindefmalaysia Apply Action pdrmsia jpjmalaysia jbpmofficial relamalaysia kkmputrajaya anwaribrahim drahidhamidi drasyrafwajdi jpnhqofficial kpdnq kpdnkk tabikakemas dsdrnaim,0.0,Neutral
Wed Oct 30 12:43:43 +0000 2024,KPDNKK Bahagian Jabatan Kesihatan melakukan gempuran ke atas lokasi restoran tempat proses makanan yang didapati abaikan kebersihan dan pembuatan barangan halal tetapi dalam tidak disebut syarikat kilang yang langgar peraturan itu rakyat masih terus guna kan barangan tersebut.,,The Department of Health Division KPDNKK battle on the location of the restaurant where the food process is found to ignore the hygiene and manufacture of halal good but in the fact that it is not called a factory company that violates the rule of the people still use the good,-0.296,Negative
Wed Oct 30 05:41:54 +0000 2024,Mahal giler air minum sekarang. Air import dari Brazil ke? Cc @KPDN_HQ @KPDNKK @anwaribrahim @BuletinTV3 @bernamadotcom @tv3malaysia https://t.co/lCXPPixQ0i,,Expensive water giler drink nowAir imported from Brazil toCc kpdnhq kpdnkk anwaribrahim bulletintv3 bernamadotcom tv3malaysia,0.0,Neutral
Tue Oct 29 22:54:34 +0000 2024,@SPRMMalaysia bila nak siasat? Siapa didalam khazanah dan PNB yg buat keputusan invest bodoh tu? Takkan aku nak tag kpdnkk atau JKR kot?,"Dubai, United Arab Emirates",Sprmmalaysia when to investigateWho is in the treasure and PNB who make that stupid investment decisionWouldnt I want to tag the KPDNKK or JKR coat,-0.2263,Negative
Tue Oct 29 03:06:23 +0000 2024,kena report kpdnkk makan tak habis bos oi,"Perlis, Malaysia",Got a report on the bos,0.0,Neutral
Mon Oct 28 10:14:55 +0000 2024,'Belum ada anggur beracun Shine Muscat dijual di Johor' - KPDNKK #BHnasional Jika ada aduan rasmi operasi bersepadu akan digerakkan bagi menjamin keselamatan ramai https://t.co/A7uRxCEZ3u,Malaysia,There is no poisonous Shine Muscat vine sold in Johor KPDNKK Bhnational if any official complaint of Integrated Operations will be mobilized to ensure public safety,0.735,Positive
Mon Oct 28 08:58:39 +0000 2024,siapa ada pengalaman report dengan KPDNKK?,,Who ha a report with the KPDNKK,0.34,Positive
Mon Oct 28 05:39:31 +0000 2024,@azhnhris bro on pdrm/jpam/aadk/kpdnkk/MBI watchlist https://t.co/TIc0CrHjFg,social flow,azhnhris bro on pdrmjpamaadkkpdnkkmbi watchlist,0.0,Neutral
Mon Oct 28 04:08:50 +0000 2024,@crypticlord @unifi Report KPDNKK je,,crypticlord unifi report kpdnkk je,0.0,Neutral
Sun Oct 27 03:33:29 +0000 2024,Aku rasa dulu aku pernah tweet yg aku beli ayam sekor rm20 lebih kat kedai abe dekat dgn rumah aku ni harini laki aku kabor kedai tu kena raid dgn kpdnkk baru tadi ,Malaysia,I think I used to tweet that I bought a chicken for RM20 more at a shop near my house today when I wa a shop to buy it with the new KPDNKK,0.0,Neutral
Sat Oct 26 02:39:06 +0000 2024,@twtmalaywedding @ShopeeMY @KPDNKK Hi mind to share how nak report kpdnkk ni? Kalau utk online seller yg janji nak refund duit kita dah berbulan tak refund juga boleh kan?,"Kuala Selangor, Selangor",twtmalaywedding shopeemy kpdnkk Hi mind to share how to report KPDNKKIf for online seller who promised to refund our money for month it is possible right,0.5719,Positive
Fri Oct 25 23:33:37 +0000 2024,@SinarOnline Drama bermusim kpdnkk,,SinarOnline Seasonal Drama KPDNKK,0.0,Neutral
Thu Oct 24 16:12:21 +0000 2024,Kalau i still tak dapat my claim from Etiqa ni kat mana i can report selain dari CS Etiqa yang tidak membantu ? kpdnkk ke ?,Malaysia,If I still cant get my claim from Etiqa where can I report other than CS Etiqa that doesnt helpKPDNKK ke,0.0,Neutral
Mon Oct 21 04:53:42 +0000 2024,https://t.co/TYJtODhMfm @KPDNKK baca dlm komen tulis harga lain dlm cerita lain,Singapore,kpdnkk Read in comment Write another price in another story,0.0,Neutral
Sun Oct 20 16:38:42 +0000 2024,@Artemis281072 @staronline Mamak memang pantat.. minta kpdnkk masuk campur..,,Artemis281072 staronline mamak is really as ask kpdnkk to intervene,0.0,Neutral
Sun Oct 20 05:40:20 +0000 2024,Ada satu dua syarikat pemungut hutang (debt collectors) yang berkeliaran mengancam dan menakutkan orang. Ada yang menuntut hutang yang dah luput dibawah undang2. Tarik balik lesen mereka ini. @KPDN_HQ @KPDNKK @PDRMsia @malaysianbar,"Kuala Lumpur, Malaysia ",There are one two debt collector that are wandering and scary peopleSome demand debt that have expired under the lawWithdraw their licenseKpdnhq kpdnkk pdrmsia malaysianbar,-0.8271,Negative
Sat Oct 19 08:45:25 +0000 2024,@GrabMY @MusingsFun65492 @KPDNKK @KPDN_HQ always the same answer from grab but did not solve any issue for us users. It is high time they get fines just like how the banks get fines for downtime.,Malaysia,Grabmy musingsfun65492 kpdnkk kpdnhq always the same answer from grab but did not solve any issue for usersIt is high time they get fine just like how the bank get fine for downtime,0.6968,Positive
Sat Oct 19 07:26:47 +0000 2024,@MusingsFun65492 @KPDNKK @MusingsFun65492 Hi there so sorry for what happened. Could you DM us and choose Contact Support and the next available agent will with be with you.,Malaysia,Musingsfun65492 kpdnkk musingsfun65492 hi there so sorry for what happenedCould you DM u and choose contact support and the next available agent will with be with you,0.2403,Positive
Sat Oct 19 07:25:05 +0000 2024,@GrabMY Why many tickets from customers and merchants are not responded to? How is it possible that your customers can't speak to anyone on live chat? Is there no answerable parties at your company after taking funds? Until @KPDNKK is included?,,Grabmy why many ticket from customer and merchant are not responded toHow is it possible that your customer cant speak to anyone on live chatIs there no answerable party at your company after taking fundsUntil kpdnkk is included,-0.5358,Negative
Sat Oct 19 04:59:44 +0000 2024,@ELMIELMO Sila buat laporan ke KPDNKK,Malaysia,Elmielmo Please report to KPDNKK,0.3182,Positive
Sat Oct 19 04:40:21 +0000 2024,Teman beli barang di #aeonklebang Ipoh ' skali tu bag plastik dorang #aeon jual RM0.50sen satu. Ini satu penipuan ekonomi @KPDNKK @PPIM_official @TheMerdekaTimes,Malaysia,Friends buy good at aeonklebang ipoh skali tu plastic bag aeon sell rm050sen oneThis is an economic fraud kpdnkk ppimofficial themerdatimes,0.296,Positive
Fri Oct 18 11:57:52 +0000 2024,@twt_kelantan @amir___faris Doh kalu demo stuju dengan ore sbelah demo rego tu mahal g la buat report dekat kpdnkk ko pihak berkuaso hok lain ko.. baru napok bijok sikit,,twtkelantan amirfaris doh kalu demo stuju with ore after the rego demo is expensive to make a report near kpdnkk ko other party i am,0.4019,Positive
Tue Oct 15 16:13:02 +0000 2024,Achar timun tu adalah I mintak timun and diorang kasi i 5 keping timun je nipis pulak tu harga yaa rabbi Rm 2.50 . timun je kot.. 1 batang tak sampai 2 hinggit @KPDNKK @KPDN_HQ https://t.co/P9aNV330bI,,Achar cucumber is a cucumber and a 5 piece of cucumber thinner and a rabbi price of RM 250cucumber je kot 1 stick not up to 2 hinggit kpdnkk kpdnhq,0.0,Neutral
Tue Oct 15 05:41:54 +0000 2024,Tanda harga takde kalau kena dgn kpdnkk... hmm,Penang,The price tag is not going to be with the KPDNKK hmm,0.0,Neutral
Tue Oct 15 02:53:34 +0000 2024,@mhmmdhsm Kalau x letak tanda harga auto dah salah dah dari sisi undang2.. kpdnkk boleh raid terus huhu,"Seremban, Negeri Sembilan",mhmmdhsm if x put the auto price mark is wrong from the law kpdnkk can be kept right,-0.4767,Negative
Mon Oct 14 01:48:06 +0000 2024,@asta_alon @KPDNKK @PDRMsia @HeinekenMyBhd @komunikasi_gov Hi @asta_alon Terima kasih atas keprihatinan anda. Anda dinasihatkan untuk menyalurkan aduan rasmi ke portal Aduan MCMC https://t.co/62g5rxDeaJ untuk perhatian selanjutnya.,"MCMC HQ Tower 1, Cyberjaya",astaalon kpdnkk pdrmsia heinekenmybhd komunicationgov Hi astaalon Thank you for your concernYou are advised to distribute official complaint to the mcmc complaint portal for further attention,-0.2263,Negative
Mon Oct 14 00:08:17 +0000 2024,Iklan arak??? Boleh ke iklan arak? Mohon siasat dan minta penjelasan @KPDNKK @MCMC_RASMI @PDRMsia @HeinekenMyBhd @komunikasi_gov https://t.co/pdWpAxWiXu,"Kuching, Sarawak",Advertisement Can you go to a liquor adPlease investigate and request an explanation kpdnkk mcmcrasmi pdrmsia heinekenmybhd komunicationgov,0.0,Neutral
Sun Oct 13 12:21:58 +0000 2024,@liberalisdumb @DBKL2u Takde la sentap ngan orang macam kau. Banyak lagi benda boleh buat cuma aku tak tahan orang bodoh je. Lagi2 orang bodoh tak sedar diri &amp; tak faham bahasa Kpdnkk lek je terjah. Tau2 je ni kantoi tu kantoi. Bkn orang viral baru nak gerak. Sbb tu aku ckp kau ni bodoh bangang,,liberalisdumb dbkl2u is not just a person like youThere are many more thing to do but I cant stand the foolMore ignorant people ampI do not understand the language of KPDNKK Lek jeTau2 je ni kantoi tu kantoiIts not a new viral person to moveSo I think you are a fool,-0.6956,Negative
Sun Oct 13 10:11:08 +0000 2024,@KPDN_HQ @KPDNKK @KPDN_Melaka @HasnolzamzamKSU @KpdnhepW Apakah penguatkuasaan tanda HARGA di gedung premium berbeda dengan kedai di tepi jalan? Jawapan: https://t.co/EAZNn1vdZ4,"Kuala Lumpur, Malaysia ",Kpdnhq kpdnkk kpdnmelaka hasnolzamzamksu kpdnhepw What is the price tag in the premium store with a roadside shopAnswer,0.0,Neutral
Wed Oct 09 10:43:26 +0000 2024,@SinarOnline Kami di Miri tak ada yg telur dijual di bawah RM18/-. Tolonglah check betul2 harga di pasaran kami @KPDNKK @KPDN_HQ,"Miri, Sarawak",SinarOnline in Miri there is no egg for sale under RM18Please check the price on our market kpdnkk kpdnhq,-0.296,Negative
Wed Oct 09 07:34:04 +0000 2024,@MalaysiaGazette Telur mata duk rm1.50 gak.. kpdnkk ptut pantau.. telur trun harga harga tlur mata duk rm1.50 mcm zaman telur xdak tu..,05200↔️ANFIELD↔️43650,Malaysiagazette Eggs Duk rm150 Gak kpdnkk ptut monitor egg trun price price tlur duk rm150 mcm egg age xdak tu,0.0,Neutral
Tue Oct 08 11:21:01 +0000 2024,kena buat mcm mana KPDNKK buat dkt stesyen minyak yang benarkan kereta luar negara isi minyak bersubsidi.,Petaling Jaya,It is possible to do so where the KPDNKK for the oil station allows the overseas car to be subsidized oil,0.0,Neutral
Tue Oct 08 01:15:10 +0000 2024,Kenapa kalau GIBH boleh tayang tunjuk Nama syarikat dan restoran? Tapi kalau bukan Islam lain mcm keistimewaan? @pakatanharapan_ @KPDN_HQ @KPDNKK @UMonline @bharianmy @SinarOnline @kosmo_online Restoran diarah tutup lepas tular basuh periuk guna penyapu https://t.co/dSPu3pZP2t,sky high,What if Gibh can show the name of the company and restaurantBut if not other Islam is a privilegepakatanharapan kpdnhq kpdnkk umonline bharianmy sinaronline kosmoonline restaurant is directed to cover after washing pot using broom,0.0,Neutral
Mon Oct 07 06:36:51 +0000 2024,KPDNKK tak ada nak buat pemeriksaan dekat klinik-klinik ke? Senarai harga untuk rawatan macam tak ada. Lepas rawatan mesti dia macam seprais berapa laa agaknya kena kejap lagi ye? Ke tak perlu? Kedai runcit dan makan je yang kena pamerkan harga?,"Bandar Kuala Lumpur, Wilayah P",KPDNKK doe not want to check near the clinicsList of price for such treatmentAfter the treatment he must be like how much he seems to have to do it againDont you need itGrocery store and eating a price,0.3134,Positive
